127.0.0.1 - - [10/Dec/2018:19:11:55 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [10/Dec/2018:19:11:57 +0900] "GET /HelloServlet/ HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [10/Dec/2018:19:14:53 +0900] "GET /HelloServlet/ HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [10/Dec/2018:19:42:27 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [10/Dec/2018:19:48:47 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [10/Dec/2018:19:49:20 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:00:50 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:00:56 +0900] "POST /HelloServlet/WelcomeServlet HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:01:44 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:02:23 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:03:59 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 500 1925
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:07:34 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:07:44 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:08:17 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:08:54 +0900] "GET /HelloServlet/TestServlet?username=123&password=123 HTTP/1.1" 500 1923
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:10:37 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:10:43 +0900] "POST /HelloServlet/InquiryServlet HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:13:49 +0900] "GET /HelloServlet/ HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:13:57 +0900] "GET /HelloServlet/TestServlet?username=123&password=1456 HTTP/1.1" 500 1923
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:17:52 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 500 1925
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:20:23 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 500 1925
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:20:30 +0900] "GET /HelloServlet/TestServlet?username=123&password=123 HTTP/1.1" 500 1923
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:23:53 +0900] "GET /HelloServlet/ HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:23:56 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:24:05 +0900] "GET /HelloServlet/TestServlet?username=122&password=1111 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:24:15 +0900] "POST /HelloServlet/TestServlet HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [10/Dec/2018:20:24:24 +0900] "POST /HelloServlet/TestServlet HTTP/1.1" 200 104
